year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2018-06,294,14,204,-97.98650821244655,179,8,131,-65.55750320195601,-0.3332874428994781,-0.36624303464779895,-0.032955591748320856,0.4917611020629198,0.4897769163531335
2018-07,496,18,369,-168.23776175675647,132,4,91,-44.56802213541485,-0.3391890357999122,-0.33763653132890037,0.0015525044710118507,0.500388126117753,0.512142595307918
2018-08,867,27,623,-292.5701646404001,459,19,309,-147.97104714566365,-0.3374511702888121,-0.32237700903194694,0.01507416125686517,0.5037685403142163,0.5139049083685762
2018-09,496,23,334,-154.80623963823865,555,16,414,-201.18735905649922,-0.31210935410935214,-0.3624997460477463,-0.050390391938394175,0.48740240201540147,0.4774747529787853
2018-10,678,21,543,-252.12936685299036,261,8,189,-96.95722326682899,-0.37187222249703594,-0.3714836140491532,0.0003886084478827434,0.5000971521119707,0.5191062285966161
2018-11,425,25,293,-136.53718468374925,325,13,231,-103.67952813541568,-0.32126396396176293,-0.31901393272435596,0.0022500312374069686,0.5005625078093517,0.4899547511312217
2018-12,554,20,403,-186.1992637710884,269,14,185,-89.42803342693365,-0.33609975409943754,-0.332446220917969,0.003653533181468549,0.5009133832953672,0.5139120019325487
2019-01,507,27,361,-166.49647885392307,225,13,152,-73.86281168588985,-0.3283954218026096,-0.3282791630483993,0.00011625875421028553,0.5000290646885526,0.510249835634451
2019-02,248,8,182,-89.24960299431535,232,10,154,-75.48283083371886,-0.35987743142869094,-0.3253570294556848,0.034520401973006154,0.5086301004932515,0.5202308120133482
2019-03,288,17,205,-92.82890849511178,96,4,70,-33.57290763026157,-0.32232259894136034,-0.34971778781522467,-0.02739518887386433,0.4931512027815339,0.4913194444444444
2019-04,247,11,186,-85.87841676051484,133,7,99,-45.6709721318973,-0.3476858978158495,-0.34339076790900225,0.004295129906847273,0.5010737824767119,0.5041931752458069
2019-05,288,13,218,-92.6602669358445,241,14,166,-77.05728758383336,-0.3217370379716823,-0.3197397825055326,0.0019972554661497055,0.5004993138665375,0.5202750403411711
2019-06,414,14,299,-140.47300366360557,179,5,132,-67.60240930030993,-0.339306772134313,-0.37766709106318397,-0.038360318928870984,0.49040992026778224,0.49472714759938463
2019-07,406,21,290,-127.18971862270509,195,8,152,-71.72444187350104,-0.3132751690214411,-0.36781765063333866,-0.054542481611897564,0.4863643795970256,0.4810250094732853
2019-08,472,26,339,-158.70822443480762,158,11,106,-50.78476566941114,-0.3362462382093382,-0.3214225675279186,0.014823670681419598,0.5037059176703549,0.5154674426088822
2019-09,201,9,135,-62.15318117523129,227,4,158,-86.15579540776389,-0.3092198068419467,-0.3795409489328806,-0.07032114209093387,0.4824197144772665,0.4871128936813729
2019-10,462,37,329,-157.88030380056222,234,12,174,-84.6167158336858,-0.3417322593085762,-0.361609896725153,-0.019877637416576777,0.4950305906458558,0.4849317349317349
2019-11,298,20,231,-102.85349417953412,164,12,112,-52.95201567784287,-0.34514595362259776,-0.32287814437709067,0.022267809245507086,0.5055669523113768,0.524574398428548
2019-12,404,27,272,-130.29848677736743,228,10,166,-79.85972457992884,-0.32252100687467183,-0.3502619499119686,-0.02774094303729674,0.4930647642406758,0.48055627931214173
2020-01,269,11,191,-90.66156418493709,161,5,110,-60.17459804386739,-0.33703183711872525,-0.3737552673532136,-0.036723430234488375,0.4908191424413779,0.5042427670922903
2020-02,278,12,211,-98.36703435924036,445,15,343,-163.1245551229324,-0.3538382530907927,-0.36657203398411775,-0.012733780893325053,0.49681655477666875,0.4946871716110258
2020-03,719,47,523,-236.15830878116847,567,34,426,-190.35300142674316,-0.32845383696963626,-0.3357195792358786,-0.0072657422662423254,0.4981835644334394,0.4926681433403733
2020-04,716,27,531,-253.69141054553236,490,20,361,-175.1340943168922,-0.35431761249376026,-0.35741651901406574,-0.0030989065203054778,0.4992252733699236,0.5019980617945502
2020-05,273,17,187,-87.35587924868132,136,4,98,-46.63974427445075,-0.31998490567282534,-0.34293929613566726,-0.022954390462841923,0.4942614023842895,0.48288353803059686
2020-06,241,9,170,-85.58330006818747,167,7,128,-57.22151880962546,-0.3551174276688277,-0.34264382520733805,0.012473602461489652,0.5031184006153724,0.4858747235818819
