year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2016-12,413,59,249,-143.3168747903,203,19,121,-82.61671773489999,-0.3470142246738499,-0.40697890509802953,-0.05996468042417963,0.4850088298939551,0.4893963429907322
2017-01,356,46,226,-153.43297571269997,197,32,113,-65.788800849,-0.430991504810955,-0.3339533038020304,0.09703820100892457,0.5242595502522311,0.5236126162094337
2017-02,396,66,218,-133.6206988728,267,36,159,-105.000497023,-0.33742600725454547,-0.3932602884756554,-0.05583428122110995,0.4860414296947225,0.48079105663375327
2017-03,456,76,262,-152.97617185700003,285,39,160,-95.54292529568,-0.33547406108991235,-0.335238334370807,0.0002357267191053225,0.5000589316797763,0.49583333333333335
2017-04,207,31,122,-69.45756128449999,117,13,56,-36.894845466,-0.335543774321256,-0.3153405595384615,0.020203214782794465,0.5050508036956987,0.5180230397621702
2017-05,269,28,157,-100.855701136,47,4,25,-17.0208319895,-0.3749282570111524,-0.3621453614787234,0.012782895532429006,0.5031957238831073,0.5081863481768567
2017-06,98,15,53,-31.953041955,80,9,43,-27.9625277567,-0.3260514485204082,-0.34953159695874997,-0.023480148438341786,0.49412996289041455,0.49068877551020407
2017-07,170,19,95,-62.768183761799996,269,30,150,-96.5888643099,-0.3692246103635294,-0.3590664100739777,0.010158200289551667,0.5025395500723879,0.5002405423135797
2017-08,240,33,147,-88.47942235939999,161,19,84,-51.473343704,-0.3686642598308333,-0.3197102093416149,0.04895405048921836,0.5122385126223046,0.5178183229813664
2017-09,212,35,125,-71.40448602250001,108,12,66,-41.75146385,-0.3368136133136793,-0.3865876282407407,-0.049774014927061405,0.48755649626823466,0.4811320754716981
2017-10,349,48,200,-121.1869677687,337,52,168,-87.46595432470001,-0.347240595325788,-0.25954289117121665,0.08769770415457134,0.5219244260386429,0.5228291090270634
2017-11,535,63,301,-183.13734898584,246,32,131,-74.9625134267,-0.3423128018426916,-0.30472566433617887,0.03758713750651271,0.5093967843766282,0.5106051971734671
2017-12,282,44,143,-77.95583235400001,336,44,183,-105.79592052933998,-0.2764391218226951,-0.31486881109922615,-0.038429689276531065,0.49039257768086725,0.48434333839918947
2018-01,631,75,321,-187.0376772567,70,14,35,-17.0498658166,-0.29641470246703644,-0.2435695116657143,0.052845190801322134,0.5132112977003306,0.5224643423137877
2018-02,247,44,123,-57.234702666900006,179,30,106,-61.576650621359995,-0.2317194439955466,-0.3440036347562011,-0.11228419076065452,0.4719289523098364,0.47381426277339245
2018-03,486,83,279,-171.4822413194,104,20,48,-22.1733680643,-0.3528441179411523,-0.21320546215673078,0.1396386557844215,0.5349096639461054,0.5335153529597974
2018-04,351,53,179,-93.9732880597,290,39,165,-100.49751960910001,-0.2677301654122507,-0.3465431710658621,-0.07881300565361138,0.48029674858659716,0.48112290008841735
2018-05,228,29,110,-60.5124855097,193,27,102,-54.7130886362,-0.2654056382004386,-0.28348750588704663,-0.018081867686608022,0.495479533078348,0.4916655304063267
2018-06,294,48,154,-88.7980229111,179,23,100,-63.401460365199995,-0.3020340915343538,-0.3541981025988827,-0.05216401106452889,0.48695899723386776,0.4825941549804279
2018-07,496,80,272,-157.63533020153,132,20,68,-38.566645273,-0.3178131657288911,-0.29217155509848486,0.025641610630406264,0.5064104026576015,0.5058651026392962
2018-08,867,132,465,-277.6410581781,459,70,227,-130.25748438109997,-0.3202319010128028,-0.2837853690220043,0.0364465319907985,0.5091116329976997,0.5105087786748687
2018-09,496,86,240,-123.2673384938,555,77,314,-201.2225226247,-0.24852285986653225,-0.36256310382828827,-0.11404024396175602,0.471489939009561,0.4708642109851787
2018-10,678,99,411,-261.872619274266,261,36,147,-90.1171235745,-0.3862428012894779,-0.3452763355344828,0.04096646575499513,0.5102416164387488,0.5087224087071509
2018-11,425,68,212,-119.95615225270001,325,58,158,-80.47400832039999,-0.282249770006353,-0.24761233329353843,0.03463743671281455,0.5086593591782036,0.5077828054298642
