year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2019-02,248,10,152,-78.82479773187228,232,13,115,-56.41743973387239,-0.3178419263381947,-0.2431786195425534,0.07466330679564129,0.5186658266989104,0.5332313681868743
2019-03,288,11,166,-79.675130171815,96,6,59,-27.109748245676307,-0.2766497575410243,-0.28239321089246155,-0.005743453351437278,0.49856413666214067,0.4965277777777778
2019-04,247,12,137,-70.48680406400926,133,3,66,-35.030678285445234,-0.28537167637250715,-0.2633885585371822,0.021983117835324972,0.5054957794588313,0.5080971659919028
2019-05,288,14,171,-76.06692302916497,241,13,125,-59.94381392695398,-0.26412126051793394,-0.24872951836910365,0.015391742148830295,0.5038479355372075,0.5201021496081143
2019-06,414,18,240,-118.92437477664949,179,8,111,-58.69940629492703,-0.28725694390495043,-0.3279296441057376,-0.04067270020078717,0.4898318249498032,0.4902032224111408
2019-07,406,25,222,-95.73243624227894,195,7,118,-59.00448944199529,-0.23579417793664761,-0.3025871253435656,-0.06679294740691796,0.4833017631482705,0.4789977264115195
2019-08,472,22,282,-139.85288763970343,158,12,84,-40.016554477905316,-0.29629849076208353,-0.2532693321386412,0.04302915862344231,0.5107572896558605,0.5237878137738683
2019-09,201,12,107,-48.98542966635196,227,4,133,-70.62149316831443,-0.24370860530523364,-0.31110789941988737,-0.06739929411465373,0.48315017647133657,0.4760887193986017
2019-10,462,27,257,-126.94258664549294,234,13,145,-72.09059543264863,-0.274767503561673,-0.30807946766089156,-0.03331196409921855,0.49167200897519536,0.4834332334332334
2019-11,298,18,192,-84.97308528680702,164,10,96,-42.6879261968049,-0.2851445814993524,-0.260292232907347,0.024852348592005413,0.5062130871480014,0.5148755933868063
2019-12,404,17,233,-110.23322511631284,228,8,120,-64.54578424405716,-0.27285451761463575,-0.28309554493007527,-0.010241027315439521,0.49743974317114015,0.510856348792774
2020-01,269,12,155,-77.20369927118107,161,6,89,-46.24079441764109,-0.28700259952111923,-0.28720990321516204,-0.00020730369404281523,0.4999481740764893,0.5040176406751484
2020-02,278,13,163,-81.0049481483319,445,15,271,-141.9529326388211,-0.2913847055695392,-0.3189953542445418,-0.02761064867500257,0.49309733783124937,0.49107186161183414
2020-03,719,37,436,-209.5359187083211,567,26,330,-154.9615648042558,-0.2914268688571921,-0.27330081976059223,0.018126049096599872,0.5045315122741499,0.5046955525629611
2020-04,716,39,424,-202.67987146195776,490,24,287,-139.61864460478122,-0.28307244617591865,-0.2849360093975127,-0.0018635632215940334,0.4995341091946015,0.5002437008322882
2020-05,273,17,154,-74.26209070847939,136,5,82,-37.92627574409802,-0.2720223102874703,-0.27886967458895606,-0.006847364301485748,0.4982881589246286,0.48391375781081664
2020-06,241,3,150,-74.1567207061644,167,10,98,-44.407253916350726,-0.307704235295288,-0.26591170009790854,0.041792535197379466,0.5104481337993448,0.5207530996099088
2020-07,379,25,210,-105.61268899048315,178,10,111,-59.267556286173665,-0.2786614485237022,-0.3329637993605262,-0.054302350836824,0.48642441229079403,0.4801777296848596
2020-08,264,19,156,-72.98453967048607,137,4,63,-29.488827151260736,-0.2764565896609321,-0.21524691351285208,0.06120967614808004,0.51530241903702,0.5220706149082062
2020-09,454,22,255,-117.05669009725699,79,4,46,-20.74151091870991,-0.2578341191569537,-0.26255077112291025,-0.004716651965956553,0.4988208370085109,0.495392572352646
2020-10,417,19,251,-125.29435795839917,175,12,102,-49.539208082848674,-0.3004660862311731,-0.2830811890448496,0.017384897186323522,0.5043462242965808,0.510517300445358
2020-11,517,31,297,-135.6432294051053,126,5,77,-41.03234088213851,-0.2623660143232211,-0.32565349906459135,-0.06328748474137025,0.48417812881465744,0.4857695495993368
2020-12,557,26,334,-167.2183993981735,229,13,135,-63.11257204368429,-0.3002125662444766,-0.27560075128246414,0.02461181496201248,0.5061529537405032,0.5050528015805195
2021-01,493,24,304,-149.30227824090494,130,7,75,-38.44977356621435,-0.30284437777059825,-0.29576748897087957,0.0070768887997186836,0.5017692221999297,0.5112185988453737
2021-02,375,23,216,-99.90300626359226,256,12,153,-71.47392113234584,-0.2664080167029127,-0.2791950044232259,-0.012786987720313225,0.4968032530699217,0.4909713541666667
2021-03,499,16,320,-159.7644967246822,219,8,122,-61.19890504985893,-0.3201693321135916,-0.2794470550221869,0.04072227709140469,0.5101805692728512,0.5221676229170671
2021-04,373,25,220,-104.9112013017721,230,7,138,-71.79343476633215,-0.2812632742674855,-0.3121453685492702,-0.030882094281784733,0.49227947642955383,0.48830574659051174
2021-05,290,12,190,-102.69606980555461,165,11,110,-54.80094259723879,-0.3541243786398435,-0.3321269248317502,0.02199745380809326,0.5054993634520233,0.503448275862069
2021-06,277,8,173,-86.34139172147077,249,13,162,-80.47923500339314,-0.31170177516776454,-0.32320977913009297,-0.011508003962328428,0.4971229990094179,0.4993185739347281
2021-07,444,20,264,-133.05069002970038,239,9,136,-67.18543322144659,-0.29966371628310895,-0.2811105992529146,0.018553117030194355,0.5046382792575486,0.5045421991028686
2021-08,491,15,292,-148.66338990719802,161,11,107,-52.66398582821063,-0.30277676152178823,-0.3271055020385753,-0.024328740516787073,0.4939178148708032,0.49197037355631174
2021-09,505,34,304,-142.51810362042485,348,19,217,-106.53671078776308,-0.28221406657509873,-0.30613997352805483,-0.0239259069529561,0.494018523261761,0.4914219870262888
2021-10,695,29,417,-201.84395355903632,310,8,181,-96.24233250046196,-0.29042295476120333,-0.3104591370982644,-0.02003618233706106,0.4949909544157347,0.5000522162914829
2021-11,738,36,430,-218.85722818329117,427,22,243,-125.47560092892421,-0.2965545097334569,-0.2938538663440848,0.0027006433893720927,0.500675160847343,0.5040777339857707
2021-12,1074,52,610,-300.0214664450832,485,25,280,-141.08979071504172,-0.2793495963175821,-0.2909067849794675,-0.011557188661885376,0.49711070283452863,0.49844496918735237
2022-01,744,39,459,-216.6692250642213,597,32,320,-149.4619613919061,-0.2912220766992222,-0.2503550442075479,0.04086703249167428,0.5102167581229186,0.5205260171826877
2022-02,708,49,400,-190.23766624510057,1112,63,636,-303.6062993559742,-0.26869726870776917,-0.273027247622279,-0.004329978914509813,0.4989175052713726,0.49511873552005853
2022-03,4252,289,2505,-1146.2348613328866,3949,257,2309,-1037.9909487684,-0.2695754612730213,-0.26284906274206127,0.0067263985309600205,0.50168159963274,0.5003853220756556
2022-04,3525,219,2121,-995.8726336224377,2111,121,1273,-616.9800523001154,-0.28251705918367026,-0.29226909156803194,-0.009752032384361675,0.4975619919039096,0.4984653839563784
2022-05,2378,163,1374,-633.5624515783832,899,35,552,-269.5080050788162,-0.26642659864524104,-0.29978643501536845,-0.033359836370127405,0.4916600409074682,0.4835420114490355
2022-06,2877,161,1654,-760.8342233964056,1079,52,616,-298.5452915326694,-0.2644540227307632,-0.2766870171757826,-0.012232994445019407,0.49694175138874513,0.49905928357691615
