date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-03-07,2014-03-07,2014-03,2014,1,0,1,-0.862405357931875,0,0,0,0.0,-0.862405357931875,,,,
2014-03-08,2014-03-08,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-09,2014-03-09,2014-03,2014,55,2,38,-16.514787428860217,0,0,0,0.0,-0.30026886234291306,,,,
2014-03-10,2014-03-10,2014-03,2014,1,0,1,-0.2489965640920072,0,0,0,0.0,-0.2489965640920072,,,,
2014-03-11,2014-03-11,2014-03,2014,19,0,11,-5.741879625499603,0,0,0,0.0,-0.3022041908157686,,,,
2014-03-12,2014-03-12,2014-03,2014,7,0,5,-2.28215529160366,7,0,6,-2.5509009820404422,-0.3260221845148085,-0.36441442600577745,-0.038392241490968926,0.49040193962725775,0.4642857142857143
2014-03-13,2014-03-13,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-14,2014-03-14,2014-03,2014,3,0,2,-1.0094439825275148,0,0,0,0.0,-0.3364813275091716,,,,
2014-03-15,2014-03-15,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-16,2014-03-16,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-17,2014-03-17,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-18,2014-03-18,2014-03,2014,0,0,0,0.0,19,1,16,-6.025260116452625,,-0.3171189534975066,,,
2014-03-19,2014-03-19,2014-03,2014,4,0,2,-1.1397174591605022,0,0,0,0.0,-0.28492936479012554,,,,
2014-03-20,2014-03-20,2014-03,2014,6,0,3,-1.788167080748699,0,0,0,0.0,-0.29802784679144984,,,,
2014-03-21,2014-03-21,2014-03,2014,0,0,0,0.0,6,0,3,-2.086248496458778,,-0.34770808274312964,,,
2014-03-22,2014-03-22,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-23,2014-03-23,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-24,2014-03-24,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-25,2014-03-25,2014-03,2014,2,0,2,-0.7883818885898106,2,0,2,-0.7883818885898106,-0.3941909442949053,-0.3941909442949053,0.0,0.5,0.5
2014-03-26,2014-03-26,2014-03,2014,1,0,1,-0.2009799822795908,0,0,0,0.0,-0.2009799822795908,,,,
2014-03-27,2014-03-27,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-28,2014-03-28,2014-03,2014,7,0,6,-2.5182941513189245,0,0,0,0.0,-0.35975630733127495,,,,
2014-03-29,2014-03-29,2014-03,2014,7,0,7,-3.4016513428156805,0,0,0,0.0,-0.4859501918308115,,,,
2014-03-30,2014-03-30,2014-03,2014,1,0,1,-0.1939736262417518,0,0,0,0.0,-0.1939736262417518,,,,
2014-03-31,2014-03-31,2014-03,2014,1,1,0,0.1042797528241785,26,1,23,-9.455814039031718,0.1042797528241785,-0.3636851553473738,-0.4679649081715523,0.38300877295711194,0.038461538461538436
2014-04-01,2014-04-01,2014-04,2014,10,0,6,-2.759761027256157,5,1,4,-1.432343027545989,-0.2759761027256157,-0.2864686055091978,-0.010492502783582103,0.4973768743041045,0.5
2014-04-02,2014-04-02,2014-04,2014,8,0,6,-3.4659409469375966,0,0,0,0.0,-0.4332426183671996,,,,
2014-04-03,2014-04-03,2014-04,2014,4,2,1,0.9269586253141253,5,0,3,-1.3509013164529367,0.23173965632853133,-0.2701802632905873,-0.5019199196191186,0.37452002009522034,0.2875
2014-04-04,2014-04-04,2014-04,2014,27,1,11,-6.125476278566716,14,0,8,-4.561108458746489,-0.22686949179876728,-0.3257934613390349,-0.09892396954026764,0.47526900761493307,0.44973544973544977
2014-04-05,2014-04-05,2014-04,2014,1,0,1,-0.4912013856539688,38,0,32,-13.737694181987129,-0.4912013856539688,-0.3615182679470297,0.12968311770693913,0.5324207794267348,0.5394736842105263
2014-04-06,2014-04-06,2014-04,2014,2,0,2,-0.9463033862181411,0,0,0,0.0,-0.47315169310907057,,,,
2014-04-07,2014-04-07,2014-04,2014,23,2,15,-6.104623996130029,2,0,1,-0.5571981557580025,-0.2654184346143491,-0.27859907787900123,-0.013180643264652125,0.49670483918383695,0.5163043478260869
2014-04-08,2014-04-08,2014-04,2014,1,0,0,-0.2040689110594997,1,0,0,-0.0990657780514113,-0.2040689110594997,-0.0990657780514113,0.1050031330080884,0.5262507832520221,0.5
2014-04-09,2014-04-09,2014-04,2014,1,0,1,-0.6608115401522304,0,0,0,0.0,-0.6608115401522304,,,,
2014-04-10,2014-04-10,2014-04,2014,13,0,6,-3.7409730659071463,0,0,0,0.0,-0.28776715891593435,,,,
2014-04-11,2014-04-11,2014-04,2014,20,0,15,-7.062901510619489,0,0,0,0.0,-0.35314507553097446,,,,
2014-04-12,2014-04-12,2014-04,2014,28,0,20,-9.878777926412225,0,0,0,0.0,-0.3528134973718652,,,,
2014-04-13,2014-04-13,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-14,2014-04-14,2014-04,2014,3,0,2,-0.7392989981976201,2,0,1,-0.8424921612258904,-0.2464329993992067,-0.4212460806129452,-0.1748130812137385,0.4562967296965654,0.5416666666666666
2014-04-15,2014-04-15,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-16,2014-04-16,2014-04,2014,10,4,5,-1.0350169457095402,35,5,22,-9.594149043610642,-0.10350169457095401,-0.2741185441031612,-0.1706168495322072,0.4573457876169482,0.4035714285714286
2014-04-17,2014-04-17,2014-04,2014,3,0,3,-1.972209869111544,3,1,2,-1.1131670696315035,-0.657403289703848,-0.3710556898771678,0.2863475998266802,0.57158689995667,0.6666666666666667
2014-04-18,2014-04-18,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-19,2014-04-19,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-20,2014-04-20,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-21,2014-04-21,2014-04,2014,3,0,3,-1.3390445416932737,0,0,0,0.0,-0.44634818056442455,,,,
2014-04-22,2014-04-22,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-23,2014-04-23,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-24,2014-04-24,2014-04,2014,7,0,5,-2.325372730335927,0,0,0,0.0,-0.3321961043337039,,,,
2014-04-25,2014-04-25,2014-04,2014,4,0,2,-0.93515779828347,0,0,0,0.0,-0.2337894495708675,,,,
2014-04-26,2014-04-26,2014-04,2014,0,0,0,0.0,9,0,8,-3.147951465192968,,-0.3497723850214409,,,
2014-04-27,2014-04-27,2014-04,2014,0,0,0,0.0,1,0,1,-0.6437156145442788,,-0.6437156145442788,,,
2014-04-28,2014-04-28,2014-04,2014,0,0,0,0.0,1,0,1,-0.3744279451298591,,-0.3744279451298591,,,
2014-04-29,2014-04-29,2014-04,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-04-30,2014-04-30,2014-04,2014,0,0,0,0.0,10,0,7,-2.556226030538474,,-0.25562260305384743,,,
2014-05-01,2014-05-01,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-02,2014-05-02,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-03,2014-05-03,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-04,2014-05-04,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-05,2014-05-05,2014-05,2014,0,0,0,0.0,4,0,4,-2.025337097987694,,-0.5063342744969235,,,
2014-05-06,2014-05-06,2014-05,2014,0,0,0,0.0,1,0,1,-0.4006014423481726,,-0.4006014423481726,,,
2014-05-07,2014-05-07,2014-05,2014,5,0,3,-1.8548476326546277,0,0,0,0.0,-0.3709695265309255,,,,
2014-05-08,2014-05-08,2014-05,2014,0,0,0,0.0,11,0,9,-3.0013984335696327,,-0.27285440305178477,,,
2014-05-09,2014-05-09,2014-05,2014,0,0,0,0.0,1,0,1,-0.3503505969878995,,-0.3503505969878995,,,
2014-05-10,2014-05-10,2014-05,2014,0,0,0,0.0,1,0,1,-0.3941626940542236,,-0.3941626940542236,,,
2014-05-11,2014-05-11,2014-05,2014,0,0,0,0.0,1,0,0,-0.0206116001769485,,-0.0206116001769485,,,
2014-05-12,2014-05-12,2014-05,2014,0,0,0,0.0,6,0,4,-1.5523832705193323,,-0.2587305450865554,,,
2014-05-13,2014-05-13,2014-05,2014,0,0,0,0.0,2,0,1,-0.4757037178434726,,-0.2378518589217363,,,
2014-05-14,2014-05-14,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-15,2014-05-15,2014-05,2014,4,0,3,-1.311778042572194,0,0,0,0.0,-0.3279445106430485,,,,
2014-05-16,2014-05-16,2014-05,2014,7,0,5,-1.5619057453607272,0,0,0,0.0,-0.2231293921943896,,,,
2014-05-17,2014-05-17,2014-05,2014,7,1,3,-1.106982979296968,0,0,0,0.0,-0.15814042561385258,,,,
2014-05-18,2014-05-18,2014-05,2014,3,1,1,-0.07263849419912943,5,0,3,-1.1429521972289052,-0.02421283139970981,-0.22859043944578103,-0.20437760804607122,0.4489055979884822,0.35
2014-05-19,2014-05-19,2014-05,2014,15,0,8,-4.340319760946488,3,0,2,-1.4662124948094735,-0.28935465072976585,-0.4887374982698245,-0.19938284754005864,0.45015428811498537,0.4666666666666667
2014-05-20,2014-05-20,2014-05,2014,25,0,18,-8.265578498388965,3,0,2,-0.8971951980865149,-0.3306231399355586,-0.2990650660288383,0.031558073906720274,0.5078895184766801,0.5133333333333333
2014-05-21,2014-05-21,2014-05,2014,7,0,6,-2.5465110759924126,0,0,0,0.0,-0.36378729657034464,,,,
2014-05-22,2014-05-22,2014-05,2014,0,0,0,0.0,2,0,2,-0.9567383353024954,,-0.4783691676512477,,,
2014-05-23,2014-05-23,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-24,2014-05-24,2014-05,2014,0,0,0,0.0,2,0,2,-1.1432851321668234,,-0.5716425660834117,,,
2014-05-25,2014-05-25,2014-05,2014,0,0,0,0.0,1,0,1,-0.2356133069660421,,-0.2356133069660421,,,
2014-05-26,2014-05-26,2014-05,2014,4,0,3,-1.31653080387253,0,0,0,0.0,-0.3291327009681325,,,,
2014-05-27,2014-05-27,2014-05,2014,4,1,2,-0.8098734097938585,0,0,0,0.0,-0.20246835244846462,,,,
2014-05-28,2014-05-28,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-05-29,2014-05-29,2014-05,2014,7,0,7,-3.6916209377606,0,0,0,0.0,-0.5273744196800857,,,,
2014-05-30,2014-05-30,2014-05,2014,1,0,1,-0.5488605525763304,0,0,0,0.0,-0.5488605525763304,,,,
2014-05-31,2014-05-31,2014-05,2014,0,0,0,0.0,0,0,0,0.0,,,,,
